code|description_serbian|description_latin
A81.9|Spora infekcija centralnog nervnog sistema uzrokovana virusima, neoznačena|Infectio systematis nervosi centralis viralis lenta, non specificata
A82|Besnilo|Rabies
A82.0|Šumsko besnilo|Rabies slivatica
A82.1|Gradsko besnilo|Rabies urbana
A82.9|Besnilo, neoznačeno|Rabies, non specificata
A83|Zapaljenje mozga uzrokovana virusima koje prenose komarci|Encephalitis viralis anophelis transmissa
A83.0|Japansko zapaljenje mozga|Encephalitis japonica
A83.1|Zapadno konjsko zapaljenje mozga|Encephalitis equine occidentalis
A83.2|Istočno konjsko zapaljenje mozga|Encephalitis equine orientalis
A83.3|Zapaljenje mozga St. Louis|Encephalitis St. Louis
A83.4|Australijsko zapaljenje mozga|Encephalitis australiensis
A83.5|Kalifornijsko zapaljenje mozga|Encephalitis californiensis
A83.6|Rociova bolest|Morbus viralis Rocio
A83.8|Druga zapaljenja mozga uzrokovana virusima koje prenose komarci|Encephalitis viralis anophelis transmissa alia
A83.9|Zapaljenje mozga uzrokovano virusima koje prenose komarci, neoznačeno|Encephalitis viralis anophelis transmissa, non specificata
A84|Zapaljenje mozga uzrokovano virusima koje prenose krpelji|Encephalitis viralis ixodibus transmissa
A84.0|Dalekoistočno zapaljenje mozga|Encephalitis Orientis extremi ixodibus transmissa
A84.1|Centralnoevropsko zapaljenje mozga|Encephalitis Europae centralis ixodibus transmissa
A84.8|Druga zapaljenja mozga uzrokovana virusima koje prenose krpelji|Encephalitis viralis ixodibus transmissa alia
A84.9|Zapaljenje mozga uzrokovano virusima koje prenose krpelji,neoznačeno|Encephalitis viralis ixodibus transmissa, non specificata
A85|Druga zapaljenja mozga uzrokovana virusima|Encephalitis viralis alia
A85.0|Zapaljenje mozga uzrokovano enterovirusima|Encephalitis enteroviralis (G05.1*)
A85.1|Zapaljenje mozga uzrokovano adenovirusima|Encephalitis adenoviralis (G05.1*)
A85.2|Zapaljenje mozga uzrokovano virusima koje prenose insekti, neoznačeno|Encephalitis viralis arthoropodis transmissa, non specificata
A85.8|Druga označena zapaljenja mozga uzrokovana virusima|Encephalitis viralis alia, specificata
A86|Zapaljenje mozga uzrokovano virusima, neoznačeno|Encephalitis viralis, non specificata
A87|Zapaljenje moždanica uzrokovano virusima|Meningitis viralis
A87.0|Zapaljenja moždanica uzrokovana enterovirusima|Meningitis enteroviralis (G02.0*)
A87.1|Zapaljenja moždanica uzrokovana adenovirusima|Meningitis adenoviralis (G02.0*)
A87.2|Zapaljenje srednje sudovnjače oka i moždanica sa povećanim brojem limfocita|Choriomeningitis lymphocytica
A87.8|Druga zapaljenja moždanica uzrokovanavirusima|Meningitis viralis alia
A87.9|Zapaljenja moždanica uzrokovana virusima, neoznačena|Meningitis viralis, non specificata
A88|Druge infekcije centralnog nervnog sistema uzrokovane virusima|Infectiones systematis nervosi centralis virales aliae
A88.0|Osipna groznica uzrokovana enterovirusom Boston|Febris exanthematosa enteroviralis. exanthema Boston)
A88.1|Epidemijska vrtoglavica|Vertigo epidemica
A88.8|Druge označene infekcije centralnog nervnog sistema uzrokovane virusima|Infectiones systematis nervosi centralis virales alia, specificatae
A89|Infekcija centralnog nervnog sistema uzrokovana neoznačenim virusima|Infectio systematis nervosi centralis viralis, non specificata
A90|Groznica denga|Febris dengue
A91|Hemoragijska denga groznica|Febris dengue haemorrhagica
A92|Druge groznice uzrokovane virusima koje prenose komarci|Febres virales anophelis transmissae aliae
A92.0|Bolest uzrokovana virusom Chikungunya|Morbus viralis Chikungunya
A92.1|Groznica O nyong-nyong|Febris O nyong-nyong
A92.2|Venecuelska konjska groznica|Febris equina venezuelensis
A92.3|Zapadnonilska groznica|Febris West Nile
A92.4|Groznica doline Rift|Febris Rift valley
A92.8|Druge označene groznice uzrokovane virusima koje prenose komarci|Febres virales anophelis tranamissae aliae, specificatae
A92.9|Groznica uzrokovana virusima koje prenose komarci, neoznačena|Febris viralis anophelis transmissa, non specificata
A93|Druga groznica uzrokovana virusom koju prenose insekti|Febris viralis arthropodis transmissa alia
A93.0|Bolest uzrokovana virusom oropouche|Morbus viralis Oropouche
A93.1|Groznica papataći|Febris Sandfly
A93.2|Groznica Kolorado koju prenose krpelji|Febris ixodica Colorado
A93.8|Druga označena groznica uzrokovana virusima koje prenose insekti|Febris viralis arthropodis transmissa alia, specificata
A94|Groznica uzrokovana virusima koje prenose insekti, neoznačena|Febris viralis arthropodis transmissa, non specificata
A95|Žuta groznica|Febris flava
A95.0|Šumska žuta groznica|Febris flava silvatica
A95.1|Gradska žuta groznica|Febris flava urbana
A95.9|Žuta groznica, neoznačena|Febris flava, non specificata
A96|Hemoragijska groznica uzrokovana arenavirusima|Febris haemorrhagica arenaviralis
A96.0|Hemoragijska groznica Junin|Febris haemorrhagica Junin
A96.1|Hemoragijska groznica Machupo|Febris haemorrhagica Machupo
A96.2|Umarajuća groznica|Febris lassa
A96.8|Druga hemoragijska groznica uzrokovana arenavirusima|Febris haemorrhagica arenaviralis alia
A96.9|Hemoragijska groznica uzrokovana arenavirusima, neoznačena|Febris haemorrhagica arenaviralis, non specificata
A98|Druge hemoragijske groznice uzrokovane virusima|Febris haemorrhagicae virales aliae
A98.0|Krimsko-kongoanska hemoragijska groznica|Febris haemorrhagica Crim-Congo
A98.1|Omska hemoragijska groznica|Febris haemorrhagica Omsk
A98.2|Šumska bolest Kyasanura|Morbus silvaticus Kyasanur
A98.3|Marburgška virusna bolest|Morbus viralis Marburg
A98.4|Bolest Ebola uzrokovana virusom|Morbus viralis Ebola
A98.5|Hemoragijska groznica sa bubrežnim sindromom|Febris haemorrhagica cum syndroma renali
A98.8|Druge označene hemoragijske groznice uzrokovane virusima|Febris haemorrhagicae virales aliae, specificatae
A99|Hemoragijska groznica uzrokovana virusom,neoznačena|Febris haemorrhagica viralis, non specificata
B00|Infekcija virusom,uzročnik Herpes simplex|Infectiones herpesvirales
B00.0|Ospa uzrokovana virusom|Eczema herpeticum
B00.1|Mehurasto zapaljenje kože uzrokovano herpesvirusom|Dermatitis vesicularis herpetica
B00.2|Zapaljenje sluznice desni,usta,ždrela i krajnika uzrokovano herpesvirusom|Gingivostomatitis et pharyngotonsillitis herpetica
B00.3|Zapaljenje moždanica uzrokovano herpesvirusom|Meningitis herpetica (G02.0*)
B00.4|Zapaljenje mozga uzrokovano herpesvirusom|Encephalitis herpetica (G05.1*)
B00.5|Bolest oka uzrokovana herpesvirusom|Morbus oculi herpeticus
B00.7|Generalizovana bolest uzrok.ovana herpes virusom|Herpes generalisatus
B00.8|Drugi oblici infekcija uzrokovani herpes virusom|Infectio herpetica,formae aliae
B00.9|Infekcija uzrokovana herpes virusom,neoznačena|Infectio herpetica,non specificata
B01|Varičela-ovčije boginje|Varicella
B01.0|Zapaljenje moždanica uzrokovano virusom varičele|Meningitis varicellosa(G02.0*)
B01.1|Zapaljenje mozga uzrokovano virusom varičele|Encephalitis varicellosa (G05.1*)
B01.2|Zapaljenje pluća uzrokovano virusom varičele|Pneumonia varicellosa (J17.1*)
B01.8|Ovčije boginje sa drugim komplikacijama|Varicella cum compilcationibus aliis
B01.9|Ovčije boginje bez komplikacija|Varicella sine complicatione
B02|Zonski-pojasasti herpes|Herpes zoster
B02.0|Zapaljenje mozga uzrokovano virusom herpes zostera|Encephalitis zostrica (G05.1*)
B02.1|Zapaljenje moždanica uzrokovano virusom herpes zostera|Meningitis zostrica (G02.0*)
B02.2|Herpes zoster sa drugim komplikacijama nervnog sistema|Herpes zoster cum complicationibus systematis nervosi aliis
B02.3|Bolest oka uzrokovana virusom herpes zostera|Morbus oculi zostricus
B02.7|Rasejani herpes zoster|Herpes zoster disseminatus
B02.8|Herpes zoster sa drugim komplikacijama|Herpes zoster cum complicationibus aliis
B02.9|Herpes zoster bez komplikacija|Herpes zoster sine complicationibus
B03|Velike boginje|Variola vera
B04|Boginje majmuna|Variola simiaca
B05|Morbili-male boginje|Morbilli
B05.0|Zapaljenje mozga uzrokovano virusom malih boginja|Encephalitis morbillosa (G05.1*)
B05.1|Zapaljenje moždanica uzrokovano virusom malih boginja|Meningitis morbillosa (G02.0*)
B05.2|Zapaljenje pluća uzrokovano virusom malih boginja|Pneumonia morbillosa (J17.1*)
B05.3|Zapaljenje srednjeg uva uzrokovano virusom malih boginja|Otitis media morbillosa (H67.1*)
B05.4|Male boginje sa crevnim komplikacijama|Morbilli cum complicationibus intestinalibus
B05.8|Male boginje sa drugim komplikacijama|Morbilli cum complicationibus alii
B05.9|Male boginje bez komplikacija|Morbilli sine complicationibus
B06|Rubeola-crvenka|Rubeola
B06.0|Rubeola sa neurološkim komplikacijama|Rubeola cum complicationibus neurologicis
B06.8|Rubeola sa drugim komplikacijama|Rubeola cum complicationibus aliis
B06.9|Rubeola bez komplikacija|Rubeola sine complicationibus
B07|Virusne bradavice|Verrucae virales
B08|Druge infekcije sa oštećenjem kože i sluznice uzrokovane virusima|Infectiones virales cum laesionibus mucocutaneis aliae
B08.0|Druge infekcije uzrokovane ortopoks virusom|Infectiones orthopoxvirales aliae
B08.1|Zarazna peteljkasta bradavica|Molluscum contagiosum
B08.2|Ospa kože uzrokovana virusima|Exanthema subitum
B08.3|Zarazno crvenilo|Erythema infectivum
B08.4|Plikovito zapaljenje sluznice usta uzrokovano enterovirusom|Stomatitis vesiculosa enteroviralis
B08.5|Plikovito zapaljenje ždrela uzrokovano enterovirusom|Pharyngitis vesiculosa enteroviralis
B08.8|Druge označene infekcije sa oštećenjem kože i sluznice uzrokovane virusima|Infectiones virales cum laesionibus mucocutaneis aliae specificatae
B09|Neoznačena infekcija sa oštećenjima kože i sluznice ,uzrokovana virusima|Infectio viralis cum laesionibus mucocutaneis non specificata
B15|Akutno zapaljenje jetre uzrokovano virusom A|Hepatitis acuta A
B15.0|Akutno zapaljenje jetre sa hepatičkom komom,uzrokovano virusom A|Hepatitis A cum comate hepatico
B15.9|Akutno zapaljenje jetre bez hepatičke kome,uzrokovano virusom A|Hepatitis A sine comate hepatico
B16|Akutno zapaljenje jetre uzrokovano virusom B|Hepatitis acuta B
B16.0|Akutno zapaljenje jetre sa hepatičkom komom,uzrokovano virusom B sa delta agensom (koinfekcija)|Hepatitis acuta B cum delta agente (coinfectio),cum comate hepatico
B16.1|Akutno zapaljenje jetre bez hepatičke kome ,uzrokovano virusom B sa delta agensom|Hepatitis acuta B cum delta agente,sine comate hepatico
B16.2|Akutno zapaljenje jetre sa hepatičkom komom,uzrokovano virusom B bez delta agensa|Hepatitis acuta B sine delta agente,cum comate hepatico
B16.9|Akutno zapaljenje jetre i bez hepatičke kome,uzrokovano virusom B bez delta agensa|Hepatitis acuta B sine delta agente et sine comate hepatico
B17|Druga akutna zapaljenja jetre uzrokovana virusima|Hepatitis viralis acuta alia
B17.0|Akutna delta superinfekcija nosioca hepatitisa B bez povrede jetre|Infectio delta agente acuta in B antigenaemia sine laesione hepatis
B17.1|Akutno zapaljenje jetre uzrokovano virusom C|Hepatitis acuta C
B17.2|Akutno zapaljenje jetre uzrokovano virusom E|Hepatitis acuta E
B17.8|Drugo označeno akutno zapaljenje jetre uzrokovano virusom|Hepatitis viralis alia, specificata
B18|Hronična zapaljenja jetre uzrokovana virusima|Hepatitis viralis chronica
B18.0|Hronično zapaljenje jetre uzrokovano virusom B sa delta agensom|Hepatitis viralis chronica B cum delta agente
B18.1|Hronično zapaljenje jetre uzrokovano virusom B bez delta agensa|Hepatitis viralis chronica B sine delta agente
B18.2|Hronično zapaljenje jetre uzrokovano virusom C|Hepatitis viralis chronica C
B18.8|Druga hronična zapaljenja jetre uzrokovana virusom|Hepatitis viralis chronica alia
B18.9|Hronično zapaljenje jetre uzrokovano virusima,neoznačeno|Hepatitis viralis chronica,non specificata
B19|Zapaljenja jetre uzrokovana virusima,neoznačena|Hepatitis viralis,non specificata
B20|Sida-Bolest stečenog nedostatka imuniteta sa zaraznim i parazitarnim bolestima|Morbus HIV - morbus deficientiae immunitatis acquisitae cum morbis infectivis et parasitariis adjun.
B20.0|Sida sa infekcijom uzrokovanom mikobakterijama|Morbus HIV cum infectione mycobacteriali
B20.1|Sida sa drugim infekcijama uzrokovanim bakterijama|Morbus HIV cum infectionibus bacterialibus adjunctis aliis
B20.2|Sida sa citomegalovirusnom bolešću|Morbus HIV cum morbo cytomegalovirali adjuncto
B20.3|Sida sa drugim infekcijama uzrokovanim virusima|Morbus HIV cum infectionibus viralibus adjunctis aliis
B20.4|Sida sa kandidijazom|Morbus HIV cum candidiase adjuncta
B20.5|Sida sa drugim mikozama|Morbus HIV cum mycosibus adjunctis aliis
B20.6|Sida sa zapaljenjem pluća(Pneumocystis carinii)|Morbus HIV cum pneumonia (Pneumocystis carinii) adjuncta
B20.7|Sida sa drugim mnogobrojnim infekcijama|Morbus HIV cum infectionibus multiplicibus adjuncta aliis
B20.8|Sida sa drugim zaraznim bolestima i parazitarnim bolestima|Morbus HIV cum morbis infectivis et parasitariis adjunctis
B20.9|Sida sa neoznačenom zaraznom bolešću ili parazitarnom bolešću|Morbus HIV cum morbo infectivo sive parasitario adjuncto non specificato
B21|Sida sa zloćudnim tumorima|Morbus HIV cum neoplasmatis malignis adjunctis
B21.0|Sida sa Kaposijevim sarkomom|Morbus HIV cum sarcomate Kaposi adjuncto
B21.1|Sida sa Burkittovim tumorom limfne žlezde|Morbus HIV cum lymphomate Burkitt adjuncto
B21.2|Sida sa drugim tipovima ne-Hodgkinovih tumora limfnih žlezda|Morbus HIV cum typis lymphomatis non Hodkin adjunctis aliis
B21.3|Sida sa drugim zloćudnim tumorima limfnog,hematopoeznog i srodnog tkiva|Morbus HIV cum neoplasmatis malignis textus lymphatici,haematopoietici et textus affinis adjun.aliis
B21.7|Sida sa mnogobrojnim zloćudnim tumorima|Morbus HIV cum neoplasmatis malignis multiplicibus adjunctis
B21.8|Sida sa drugim zloćudnim tumorima|Morbus HIV cum neoplasmatis malignis adjunctis aliis
B21.9|Sida sa neoznačenim zloćudnim tumorom|Morbus HIV cum neoplasmate maligno adjuncto,non specificato
B22|Sida sa drugim označenim bolestima|Morbus HIV cum morbis alis specificatis adjunctis
B22.0|Sida sa oboljenjem mozga|Morbus HIV cum encephalopathia adjuncta
B22.1|Sida sa intersticijalnim limfoidnim zapaljenjem pluća|Morbus HIV cum pneumonia interstitiali lymphoidi adjuncta
B22.2|"Sida sa ""sindromom pustoši"""|"Morbus HIV cum ""wasting syndroma"""
B22.7|Sida sa mnogim bolestima|Morbus HIV cum morbis multiplicibus adjunctis
B23|Sida sa drugim stanjima|Morbus HIV cum statibus adjunctis aliis
B23.0|Akutni sindrom side|Syndroma HIV infectionis acuta
B23.1|Sida sa opštim oboljenjem limfnih žlezda|Morbus HIV cum lymphadenopathia (persastenti) generali adjuncta
B23.2|Sida sa hematološkim i imunitetskim poremećajima|Morbus HIV cum immunohaemopathiis adjunctis
B23.8|Sida sa drugim označenim stanjima|Morbus HIV cum statibus adjunctis aliis,specificatis
B24|Sida,neoznačena|Morbus HIV,non specificatus
B25|Oboljenja uzrokovana citomegalovirusima|Viroses cytomegalicae
B25.0|Zapaljenje pluća uzrokovano citomegalovirusima|Pneumonitis cytomegaloviralis(J17.1*)
B25.1|Zapaljenje jetre uzrokovano citomegalovirusima|Hepatitis cytomegaloviralis(K77.0*)
B25.2|Zapaljenje gušterače uzrokovano citomegalovirusima|Pancreatitis cytomegaloviralis(K87.1*)
B25.8|Druga oboljenja uzrokovana citomegalovirusima|Virosis cytomegaloviralis alia
B25.9|Bolest uzrokovana citomegalovirusima,neoznačena|Morbus cytomegaloviralis,non specificatus
B26|Zauške|Parotitis
B26.0|Zapaljenje semenika uzrokovano virusom zaušaka|Orchitis parotitica (N51.1*)
B26.1|Zapaljenje moždanica uzrokovano virusom zaušaka|Meningitis parotitica (G02.0*)
B26.2|Zapaljenje mozga uzrokovano virusom zaušaka|Encephalitis parotitica (G05.1*)
B26.3|Zapaljenje gušterače uzrokovano virusom zaušaka|Pancreatitis parotitica (K87.1*)
B26.8|Epidemijske zauške sa drugim komplikacijama|Parotitiss epidemica cum complicationibus aliis
B26.9|Epidemijske zauške bez komplikacija|Parotitis epidemica sine complicatione
B27|Mononukleoza-oboljenje uzrokovano virusom,praćeno povećanjem broja monocita u krvi|Mononucleosis infectiva
B27.0|Mononukleoza uzrokovana virusom gamaherpesa|Mononucleosis gammaherpes viralis
B27.1|Mononukleoza uzrokovana citomegalovirusom|Mononucleosis cytomegaloviralis
B27.8|Druga zarazna mononukleoza|Mononucleosis infectiva alia
B27.9|Zarazna momnonukleoza,neoznačena|Mononucleosis infectiva,non specificata
B30|Zapaljenje vežnjače uzrokovano virusima|Conjunctivitis viralis
B30.0|Zapaljenje rožnjače i vežnjače uzrokovano adenovirusima|Keratoconjunctivitis adenoviralis (N19.2*)
B30.1|Zapaljenje vežnjače uzrokovano adenovirusima|Conjunctivitis adenoviralis (H13.1*)
B30.2|Zapaljenje ždrela i vežnjače uzrokovano virusima|Pharyngoconjunctivitis viralis
B30.3|Akutno epidermičko hemoragijsko zapaljenje vežnjače uzrokovano enterovirusima|Conjunctivitis haemorrhagica epidemica acuta (enteroviralis) (H13.1)
B30.8|Drugo zapaljenje vežnjače uzrokovano virusima|Conjuctivitis viralis alia (H13.1*)
B30.9|Zapaljenje vežnjače uzrokovano virusima,neoznačeno|Conjunctivitis viralis,non specificata
B33|Druge bolesti uzrokovane virusima|Morbi virales alii
B33.0|Epidemijski bol mišića|Myalgia epidemica
B33.1|Ross Riverska bolest|Morbus Ross River
B33.2|Zapaljenje srca uzrokovano virusima|Carditis viralis
B33.3|Infekcija uzrokovana retrovirusima|Infectio retroviralis
B33.8|Druge označene bolesti uzrokovane virusima|Morbi virales alii,specificati
B34|Infekcija uzrokovana virusima,neoznačene lokalizacije|Infectio viralis,loci non specificati
